clade	inclusive_count	exclusive_count
B.1.1.242	9	9
B.1.1.243	31	31
B.1.1.244	549	113
B.1.1.249	14	14
B.1.1.25	12218	594
B.1.1.251	74	74
B.1.1.253	313	313
B.1.1.254	36	20
B.1.1.255	330	330
B.1.1.256	73	73
B.1.1.257	81	81
B.1.1.258	27	27
B.1.1.26	183	183
B.1.1.261	3	3
B.1.1.262	65	65
B.1.1.263	12	12
B.1.1.266	23	23
B.1.1.268	16	16
B.1.1.269	545	545
B.1.1.27	2	2
B.1.1.270	96	96
B.1.1.274	96	96
B.1.1.275	6	6
B.1.1.277	255	255
B.1.1.279	725	725
B.1.1.28	1663	209
B.1.1.280	11	11
B.1.1.282	26	26
B.1.1.283	2	2
B.1.1.284	261	261
B.1.1.285	44	44
B.1.1.286	317	317
B.1.1.288	9	9
B.1.1.289	488	488
B.1.1.29	117	117
B.1.1.290	40	40
B.1.1.291	1184	1144
B.1.1.294	262	236
B.1.1.296	54	54
B.1.1.297	202	199
B.1.1.298	11	11
B.1.1.299	80	80
B.1.1.3	123	123
B.1.1.300	91	91
B.1.1.301	829	829
B.1.1.302	23	23
B.1.1.303	326	326
B.1.1.304	1097	173
B.1.1.305	155	130
B.1.1.306	247	157
B.1.1.307	2148	2148
B.1.1.308	73	73
B.1.1.309	157	157
B.1.1.310	66	66
B.1.1.311	2640	2640
B.1.1.312	13	13
B.1.1.315	4430	35
B.1.1.316	895	825
B.1.1.317	1451	1294
B.1.1.318	2385	1594
B.1.1.320	16	16
B.1.1.322	66	66
B.1.1.323	64	64
B.1.1.325	3	3
B.1.1.326	8	8
B.1.1.327	7	7
B.1.1.328	16	16
B.1.1.329	82	82
B.1.1.33	478	223
B.1.1.336	2	2
B.1.1.337	121	121
B.1.1.338	5	5
B.1.1.339	8	8
B.1.1.34	42	20
B.1.1.341	16	16
B.1.1.344	46	46
B.1.1.345	4	4
B.1.1.347	11	11
B.1.1.348	451	451
B.1.1.349	15	15
B.1.1.351	74	74
B.1.1.352	24	24
B.1.1.353	6	6
B.1.1.354	23	23
B.1.1.355	78	66
B.1.1.356	11	11
B.1.1.357	2	2
B.1.1.358	9	9
B.1.1.359	9	9
B.1.1.360	32	32
B.1.1.361	21	21
B.1.1.362	144	144
B.1.1.363	168	168
B.1.1.364	4	4
B.1.1.365	175	175
B.1.1.367	34	23
B.1.1.368	179	179
B.1.1.369	2209	2209
B.1.1.37	4946	4946
B.1.1.371	47	47
B.1.1.372	10558	1246
B.1.1.373	6	6
B.1.1.374	70	70
B.1.1.375	8	8
B.1.1.376	101	101
B.1.1.378	47	47
B.1.1.379	31	31
B.1.1.38	18	18
B.1.1.380	29	29
B.1.1.381	2	2
B.1.1.382	22	22
B.1.1.383	3	3
B.1.1.384	56	56
B.1.1.385	209	209
B.1.1.388	2	2
B.1.1.389	7	7
B.1.1.39	1595	1593
B.1.1.392	7	7
B.1.1.395	18	18
B.1.1.396	3	3
B.1.1.397	45	45
B.1.1.398	2	2
B.1.1.4	330	330
B.1.1.40	16	16
B.1.1.402	11	5
B.1.1.403	19	19
B.1.1.404	12	12
B.1.1.405	27	5
